#ground_truth
dist_name: pareto
dist_params: (3.0, 0, 1)
#gev_params
shape: -0.49231617529031424
location: 2.1603980898133264
scale: 0.5119622157658736
#dist_guess
norm: 1.0396556304748117e-07 (1.4142892395118907, 0.7291437328442847)
expon: 0.009542414680862255 (1.0012505803660112, 0.41303865914587945)
uniform: 0.0 (1.0012505803660112, 5.998614251845367)
pareto: 0.5055418637094409 (3.5969167272108127, -0.005718460754514551, 1.0069690410867622)
rayleigh: 1.6827679472086743e-08 (0.48387891087976104, 0.8358660642208985)
#data
run,max,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9
0,2.2521952291328793,1.0613702244248642,1.3183108182707393,1.060655551026628,1.2135328743646987,1.4571770340325756,1.284730082901285,2.2521952291328793,1.021287874812037,1.0549185330881847,1.1643521252711928
1,3.373835289682505,1.20356038970759,1.7178617071021876,1.061139184553107,1.890728147321665,3.373835289682505,1.0795301422681043,1.0282039266012226,1.1730744890641946,1.0012505803660112,1.2656633092928602
2,1.7071197265693108,1.523563293701749,1.3869455363472976,1.0356328755937159,1.3385878221083451,1.0328218058120482,1.7071197265693108,1.019055298111195,1.0155486704471406,1.3307370929585476,1.2607773523026704
3,6.999864832211378,1.0574285985446954,1.715736317774923,2.176706019208425,1.3000494265718596,1.2149307501905109,1.5646179016205937,6.999864832211378,1.0413490394515148,1.315867679375774,1.0712419460771239
4,3.5167192926745026,1.2456939925917563,1.1648420373642183,1.0371085807438025,1.1167940464600232,1.0652804284237005,1.105960743002307,1.5489011744217829,1.1062611765685775,3.5167192926745026,1.15031177872031
5,2.274137507994472,1.0341480410271928,1.2220521215743336,1.06806877716848,1.0483905149448225,1.3764131960785813,1.3790591232044598,2.274137507994472,1.7998474503733437,1.3192585967073962,1.5247704731208296
6,2.3327452535744553,1.6593537008042547,1.1986649150784412,1.4974146947013098,1.1739477593185395,2.3327452535744553,1.2059098576215956,1.0036902605193394,1.3119662429625851,1.0415618049281377,1.094776047661087
7,2.684384921035844,2.684384921035844,1.2789440470413196,1.0954274293254764,1.0329650138751898,1.0173238010695953,1.1152713711636106,1.2331493007054481,1.1192376369045105,1.0144608319877835,2.487638804528925
8,1.814332566707789,1.814332566707789,1.3491043674500205,1.284975095005546,1.2537427002825492,1.193552031879925,1.5425457600230856,1.0716241450790842,1.438372333303639,1.1124491267822805,1.0077528229673198
9,2.408058463357689,1.3973011741674153,1.0761846812623639,1.1142928594422035,1.0127224230024856,2.408058463357689,1.2987326636854066,1.069195585940126,1.0885253506858719,1.3152449841932263,1.0854025697353848
