#ground_truth
dist_name: pareto
dist_params: (12.0, 0, 1)
#gev_params
shape: -0.5825249962973199
location: 1.1788526468451996
scale: 0.07579069065496087
#dist_guess
norm: 3.236021111074905e-05 (1.0971706092970954, 0.13227995386843877)
expon: 0.8437657226422246 (1.0003137446993076, 0.09685686459778786)
uniform: 0.0 (1.0003137446993076, 1.1362278709673082)
pareto: 0.9781105071568548 (11.747275602127454, -0.023954765877409273, 1.0242685105196292)
rayleigh: 0.0004358435433278185 (0.9218940343553139, 0.15526520886500034)
#data
run,max,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9
0,2.1365416156666157,1.107664797810125,1.2072326312837778,1.062838624770338,1.00089246873091,1.3571034480695388,1.0010582949518454,1.0281346540219027,2.1365416156666157,1.0953193026804573,1.1923039418679122
1,1.2294271065180107,1.0124705282131623,1.2294271065180107,1.0805798371047457,1.1358987301067327,1.0241378652715158,1.0123601463529879,1.197084995802349,1.0328980664655376,1.1731176352320545,1.0755126329046187
2,1.117428354532563,1.0445600143357001,1.0914197140289965,1.1102494313196096,1.115433046917391,1.0351137446594734,1.117428354532563,1.0391105496798962,1.02928920028279,1.0467969483757056,1.1153071299210824
3,1.1571651570548562,1.0617583078497086,1.1266078494775746,1.0553094093849067,1.0137400151663825,1.056842833251069,1.1118196897563077,1.038058671557033,1.1571651570548562,1.022841909926382,1.0037342948896038
4,1.4228498000199694,1.1826239897235673,1.4228498000199694,1.013187918448609,1.0191952038307595,1.0982806669960379,1.0296333211613031,1.1157994485803187,1.1182581856749279,1.0003137446993076,1.0777948639140944
5,1.1545086487976974,1.0501731224426067,1.1545086487976974,1.008784398135988,1.0087082739300708,1.1283998158203126,1.0311455083967846,1.0043882651596354,1.1379347420694073,1.136805139682661,1.0590211758108439
6,1.2266027748452968,1.1273728679762778,1.0254275709194374,1.1000258606268287,1.0445983778811883,1.075272776603289,1.2266027748452968,1.0349493016428641,1.0889430316479116,1.0623614080360502,1.070889645620673
7,1.1720740348556928,1.0032371060518568,1.1150611916755901,1.0025274693769988,1.1720740348556928,1.0792586439610414,1.0360085223397946,1.0070250543406682,1.0598379540286964,1.0983946449862307,1.1240493224569683
8,1.2748761532178678,1.0874848968260373,1.0832844983550127,1.1963399105627857,1.2211417473466206,1.038902336693633,1.0024129882436907,1.0220483564050213,1.095614308475668,1.163117951256217,1.2748761532178678
9,1.3586275703835917,1.0229967659706611,1.0189577884359822,1.0340864117347857,1.3586275703835917,1.0637174006728334,1.0110457482021729,1.007213825729568,1.0453607914130514,1.0013446807062838,1.061599409717639
