#ground_truth
dist_name: pareto
dist_params: (45.0, 0, 1)
#gev_params
shape: -0.02593574639917666
location: 1.0598730861854384
scale: 0.028579569460474054
#dist_guess
norm: 0.004551237391497764 (1.0265711674754385, 0.026343184000207322)
expon: 0.9224358339681489 (1.0001931961056694, 0.02637797136976916)
uniform: 0.0 (1.0001931961056694, 0.14198803659429626)
pareto: 0.8909451052731645 (43.197308422050085, -0.11341913180615135, 1.113612327911793)
rayleigh: 0.0038495578953590126 (0.9873157601339745, 0.033435390641619295)
#data
run,max,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9
0,1.040172702584727,1.0043594633253234,1.0072868937389148,1.020533481120887,1.040172702584727,1.0082762739881304,1.0133642447401665,1.0310626281289268,1.01190159031945,1.0094792695074273,1.009047555284361
1,1.0441123569243225,1.0151242654449741,1.0352817991932126,1.01195832651789,1.0201586598804306,1.011141343265598,1.0441123569243225,1.001166328603463,1.0264138027641814,1.0196846817584406,1.0199847996876168
2,1.056677231246952,1.0184054984183815,1.036491779181239,1.0502017069907055,1.056677231246952,1.0151227044033886,1.004809592467832,1.015042752803747,1.0301038644444438,1.0037712441310929,1.036848097204518
3,1.0979792691883892,1.0107777568285765,1.0324396116133572,1.0315291110984122,1.0127001428768072,1.0979792691883892,1.0093808874364552,1.0111172094084089,1.0567283398803402,1.0163678533554121,1.0224375435102022
4,1.1421812326999656,1.0839671339362345,1.0574952281562418,1.1421812326999656,1.0399533099152496,1.0239378306075513,1.0386118398784068,1.0314023762249442,1.0246730100778378,1.0004621735109107,1.0903524783733765
5,1.089131404002428,1.089131404002428,1.0257844893014205,1.0035448863818497,1.0178782428886408,1.0312412650665816,1.0001931961056694,1.0187158702176882,1.006918693122794,1.0251430322552526,1.0117151330485497
6,1.0864295983003334,1.0616399766162345,1.0052668296566956,1.0864295983003334,1.0069800829839364,1.0569992677492714,1.0404554326339999,1.0072965896824349,1.0016194638870295,1.0258138812648119,1.0043265745484862
7,1.039662948550766,1.022914622938504,1.039662948550766,1.0155727230064906,1.0057975704273454,1.0016946724376652,1.010405056200076,1.0243084841265917,1.0262323978983239,1.0046159469688845,1.005218163836979
8,1.1134306292148397,1.0052003767913065,1.026410848306762,1.008614551674232,1.01391349889845,1.0070405045699033,1.0023829897999785,1.1134306292148397,1.0528084535589786,1.0410064103261756,1.0108673869324345
9,1.061429928034073,1.0126184461466632,1.0450662330746292,1.0053681935254997,1.022170955969241,1.061429928034073,1.0105210319682867,1.005359734843945,1.0022888461830344,1.0056408136060124,1.0589811413658572
