#ground_truth
dist_name: pareto
dist_params: (69.0, 0, 1)
#gev_params
shape: 0.25132033715634045
location: 1.0377625770092949
scale: 0.016190276879359953
#dist_guess
norm: 0.002349858981446573 (1.0136610172062337, 0.013489330834271824)
expon: 0.9183679713958955 (1.0006585707193534, 0.013002446486880315)
uniform: 0.0 (1.0006585707193534, 0.06787842345917805)
pareto: 0.9382301790919687 (108.61620422539136, -0.3983943931700351, 1.3990529638893854)
rayleigh: 0.00045755257739732436 (0.9937746770547777, 0.016993051249918116)
#data
run,max,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9
0,1.0468377966459563,1.0468377966459563,1.0066751022689213,1.0061404174800421,1.0025540645150293,1.0056953999723608,1.0143698585614391,1.0050626072291782,1.0108849877151405,1.0157575917932076,1.014909538820719
1,1.0685369941785314,1.0008380801844443,1.0209763402754592,1.0133120417283654,1.023677004839076,1.0073788926284482,1.0037590255413906,1.0685369941785314,1.0036779101716797,1.0089204532171658,1.0118365722066809
2,1.0618476921474007,1.0215659691955061,1.0121933409190305,1.0075520244850005,1.0070014182395721,1.0618476921474007,1.003762852183983,1.0158428348355955,1.005983286764222,1.0077324235440992,1.0133422443518076
3,1.0473516088606574,1.0026415253385337,1.0473516088606574,1.0096119063265572,1.0043355604598814,1.0233117757377135,1.0266198701581333,1.00909310689851,1.0237823716642207,1.022976172977555,1.0033543684570134
4,1.0556977959898133,1.0084205387943401,1.0139571342905354,1.0038290035507584,1.0104957834310733,1.0028726882265195,1.0021176176650104,1.0044548150423154,1.005755964953065,1.0556977959898133,1.0034053619774528
5,1.0248432110650865,1.0248432110650865,1.0175390487337725,1.0089032493329486,1.0006627742091951,1.0087693512775464,1.0059190580210706,1.0157185748085449,1.00909828226466,1.0032690723307387,1.0171186402673928
6,1.0335172261024406,1.008743972321564,1.0293107535339967,1.0082248590607044,1.021110762371841,1.0180996530844524,1.0169063371565414,1.0012026297025343,1.0116988665409061,1.0335172261024406,1.0101744757054691
7,1.0207026528893297,1.0103188092552227,1.0042735850964564,1.0053397867858298,1.007498333021062,1.0006918034643086,1.0063352084463248,1.0047307674026709,1.0102050340814104,1.0207026528893297,1.0081289437339276
8,1.0353299731327323,1.0040984341242036,1.0028183006929186,1.0065809783594553,1.0010276105489937,1.007416849574177,1.001883859231041,1.0019507856759382,1.0106999303944806,1.0332173985352717,1.0353299731327323
9,1.043431888144435,1.0064774938501015,1.0025922863014436,1.0152270052727745,1.0390952495150576,1.0141444254381973,1.0270535644672985,1.0021288924030711,1.0285027647353613,1.043431888144435,1.0006585707193534
